Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
181.08,H,44020,111112,031220,20001994,"A: 12006348 | K: 11018",PayPal,PDF
55.96,H,44020,111112,211220,20002160,"A: 12006519 | K: 11195",PayPal,PDF
50.17,H,44020,111112,141020,20001703,"A: 12006018 | K: 10630","Mollie PayPal",PDF
56.2,H,44020,111112,171020,20001709,"A: 12006027 | K: 10651","Mollie PayPal",PDF
65.55,H,44020,111112,281120,20001961,"A: 12006316 | K: 10986",PayPal,PDF
86.32,H,44020,111112,221220,20002209,"A: 12006571 | K: 11247",PayPal,PDF
116.49,H,44020,111112,041220,20001998,"A: 12006351 | K: 11021",PayPal,PDF
40.67,H,44020,111112,090121,20002600,"A: 12006544 | K: 11221",Vorkasse,PDF
51.12,H,44020,111112,171220,20002118,"A: 12006476 | K: 11151",PayPal,PDF
17.28,H,44020,111112,221220,20002208,"A: 12006570 | K: 11246",PayPal,PDF
28.39,H,44020,111112,171220,20002111,"A: 12006469 | K: 11144",PayPal,PDF
45.88,H,44020,111112,111120,20001849,"A: 12006202 | K: 10875",PayPal,PDF
61.99,H,44020,111112,231220,20002228,"A: 12006590 | K: 11266",PayPal,PDF
59.37,H,44020,111112,161020,20001707,"A: 12006025 | K: 10646","SOFORT Überweisung",PDF
46.69,H,44020,111112,241120,20001935,"A: 12006292 | K: 10960",PayPal,PDF
69.54,H,44020,111112,221220,20002207,"A: 12006569 | K: 11245",PayPal,PDF
69.95,H,44020,111112,291220,20002300,"A: 12006665 | K: 11344",PayPal,PDF
46.36,H,44020,111112,031220,20001993,"A: 12006345 | K: 11015",PayPal,PDF
-46.36,H,44020,111112,231220,21000014,"A: 12006345 | K: 11015",PayPal,PDF
46.36,H,44020,111112,231220,20002231,"A: 12006345 | K: 11015",PayPal,PDF
46.36,H,44020,111112,231220,20001990,"A: 12006345 | K: 11015",PayPal,PDF
-46.36,H,44020,111112,231220,21000012,"A: 12006345 | K: 11015",PayPal,PDF
59.88,H,44020,111112,261020,20001749,"A: 12006077 | K: 10754",PayPal,PDF
131.88,H,44020,111112,191020,20001710,"A: 12006029 | K: 10653","Mollie PayPal",PDF
45.02,H,44020,111112,301220,20002348,"A: 12006712 | K: 11394",PayPal,PDF
30.38,H,44020,111112,101220,20002041,"A: 12006395 | K: 11065",PayPal,PDF
29.39,H,44020,111112,111220,20002053,"A: 12006411 | K: 11083",PayPal,PDF
53.75,H,44020,111112,091120,20001828,"A: 12006180 | K: 10855",PayPal,PDF
52.84,H,44020,111112,161220,20002105,"A: 12006463 | K: 11137",PayPal,PDF
28.89,H,44020,111112,041220,20002000,"A: 12006353 | K: 11023",PayPal,PDF
279.99,H,44020,111112,121020,20001691,"A: 12006002 | K: 10558","Mollie PayPal",PDF
25.68,H,44020,111112,291020,20001772,"A: 12006110 | K: 10793",PayPal,PDF
69.95,H,44020,111112,301220,20002354,"A: 12006722 | K: 11405",PayPal,PDF
53.99,H,44020,111112,181220,20002125,"A: 12006483 | K: 11158",PayPal,PDF
11.39,H,44020,111112,281220,20002265,"A: 12006614 | K: 11294",PayPal,PDF
139.08,H,44020,111112,161120,20001878,"A: 12006237 | K: 10907",PayPal,PDF
47.38,H,44020,111112,311220,20002376,"A: 12006742 | K: 11428",PayPal,PDF
161.07,H,44020,111112,161120,20001873,"A: 12006229 | K: 10898",PayPal,PDF
31.77,H,44020,111112,101220,20002040,"A: 12006398 | K: 11068",PayPal,PDF
35.39,H,44020,111112,161120,20001875,"A: 12006232 | K: 10901",PayPal,PDF
41.97,H,44020,111112,281220,20002241,"A: 12006604 | K: 11276",PayPal,PDF
13.49,H,44020,111112,021120,20001793,"A: 12006134 | K: 10816",PayPal,PDF
32.28,H,44020,111112,291220,20002324,"A: 12006692 | K: 11373",PayPal,PDF
83.94,H,44020,111112,301220,20002332,"A: 12006700 | K: 11381",PayPal,PDF
51.05,H,44020,111112,071220,20002011,"A: 12006371 | K: 11042",PayPal,PDF
27.08,H,44020,111112,151220,20002088,"A: 12006447 | K: 11120",PayPal,PDF
15.89,H,44020,111112,301220,20002347,"A: 12006716 | K: 11399",PayPal,PDF
39.67,H,44020,111112,281120,20001962,"A: 12006317 | K: 10988",PayPal,PDF
99.06,H,44020,111112,251120,20001948,"A: 12006302 | K: 10971",PayPal,PDF
159.99,H,44020,111112,121120,20001855,"A: 12006209 | K: 10109",PayPal,PDF
17.69,H,44020,111112,281220,20002273,"A: 12006632 | K: 11312",PayPal,PDF
